Read 1:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.042	0.043	0.043										Read 1:350
B	0.042	0.041	0.043										Read 1:350
C	0.043	0.043	0.043										Read 1:350
D	0.051	0.052	0.051										Read 1:350
E	0.041	0.041	0.042										Read 1:350
F	0.041	0.043	0.043										Read 1:350
G	0.030	0.030	0.031										Read 1:350
H	0.031	0.031	0.031										Read 1:350

Read 3:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.207	0.209	0.207										Read 3:350
B	0.153	0.144	0.149										Read 3:350
C	0.123	0.123	0.119										Read 3:350
D	0.134	0.132	0.134										Read 3:350
E	0.151	0.131	0.143										Read 3:350
F	0.108	0.108	0.111										Read 3:350
G	0.030	0.030	0.030										Read 3:350
H	0.035	0.029	0.029										Read 3:350

Read 2:350

Kinetic read	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3	H1	H2	H3
0:00:00	0.134	0.131	0.129	0.043	0.039	0.042	0.043	0.042	0.043	0.093	0.082	0.087	0.045	0.038	0.043	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:00:09	0.144	0.140	0.139	0.043	0.039	0.042	0.043	0.042	0.043	0.095	0.086	0.088	0.045	0.038	0.044	0.039	0.041	0.041	0.030	0.030	0.031	0.031	0.030	0.030
0:00:18	0.152	0.149	0.149	0.044	0.040	0.042	0.043	0.042	0.043	0.097	0.089	0.089	0.045	0.039	0.044	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:00:27	0.158	0.155	0.156	0.044	0.040	0.042	0.043	0.042	0.043	0.098	0.091	0.090	0.045	0.039	0.044	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:00:36	0.164	0.161	0.162	0.045	0.040	0.042	0.043	0.042	0.043	0.100	0.092	0.091	0.045	0.038	0.044	0.039	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:00:45	0.169	0.165	0.167	0.046	0.042	0.043	0.043	0.042	0.043	0.102	0.093	0.093	0.045	0.038	0.044	0.039	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:00:54	0.174	0.170	0.171	0.047	0.043	0.044	0.043	0.042	0.043	0.104	0.094	0.094	0.046	0.039	0.044	0.039	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:01:03	0.178	0.174	0.175	0.048	0.044	0.046	0.043	0.042	0.043	0.106	0.095	0.095	0.046	0.039	0.044	0.039	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:01:12	0.182	0.178	0.179	0.049	0.045	0.047	0.043	0.042	0.043	0.106	0.096	0.096	0.046	0.039	0.045	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.031	0.031
0:01:21	0.186	0.181	0.182	0.051	0.047	0.048	0.043	0.042	0.043	0.107	0.097	0.097	0.046	0.039	0.045	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:01:30	0.189	0.184	0.185	0.052	0.048	0.049	0.044	0.042	0.043	0.107	0.098	0.098	0.046	0.040	0.045	0.040	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:01:39	0.191	0.187	0.187	0.053	0.050	0.051	0.044	0.042	0.043	0.107	0.098	0.099	0.046	0.040	0.045	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:01:48	0.193	0.189	0.190	0.055	0.051	0.052	0.044	0.043	0.043	0.108	0.099	0.100	0.046	0.040	0.046	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:01:57	0.196	0.192	0.192	0.056	0.052	0.053	0.045	0.043	0.043	0.109	0.100	0.100	0.046	0.040	0.047	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:02:06	0.197	0.194	0.194	0.058	0.053	0.054	0.045	0.043	0.043	0.110	0.101	0.101	0.047	0.040	0.047	0.039	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:02:15	0.199	0.196	0.195	0.059	0.054	0.056	0.045	0.044	0.044	0.110	0.102	0.101	0.048	0.041	0.048	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:02:24	0.201	0.197	0.197	0.061	0.055	0.057	0.046	0.044	0.044	0.111	0.102	0.102	0.049	0.042	0.049	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:02:33	0.202	0.199	0.199	0.062	0.056	0.058	0.046	0.044	0.044	0.112	0.103	0.102	0.050	0.042	0.050	0.039	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:02:42	0.203	0.200	0.200	0.063	0.058	0.059	0.047	0.045	0.044	0.113	0.103	0.103	0.051	0.043	0.050	0.039	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:02:51	0.205	0.202	0.201	0.065	0.059	0.061	0.047	0.046	0.045	0.113	0.104	0.103	0.052	0.044	0.051	0.040	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:03:00	0.206	0.203	0.203	0.067	0.060	0.062	0.048	0.046	0.045	0.114	0.105	0.104	0.053	0.046	0.052	0.040	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:03:09	0.207	0.204	0.204	0.068	0.061	0.063	0.048	0.047	0.046	0.115	0.105	0.105	0.054	0.047	0.053	0.040	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.031
0:03:18	0.208	0.205	0.205	0.069	0.062	0.065	0.049	0.047	0.046	0.115	0.106	0.105	0.056	0.048	0.053	0.040	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:03:27	0.209	0.206	0.206	0.071	0.063	0.066	0.049	0.048	0.047	0.115	0.106	0.106	0.057	0.049	0.054	0.040	0.041	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:03:36	0.210	0.207	0.207	0.072	0.064	0.067	0.050	0.048	0.048	0.115	0.107	0.106	0.058	0.051	0.055	0.040	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:03:45	0.210	0.208	0.208	0.073	0.065	0.068	0.051	0.049	0.048	0.115	0.107	0.106	0.059	0.052	0.055	0.040	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:03:54	0.211	0.209	0.209	0.074	0.066	0.069	0.051	0.049	0.049	0.117	0.108	0.107	0.061	0.053	0.056	0.040	0.042	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:04:03	0.212	0.209	0.210	0.075	0.067	0.071	0.052	0.050	0.050	0.117	0.108	0.107	0.062	0.054	0.057	0.040	0.041	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:04:12	0.212	0.210	0.210	0.077	0.068	0.072	0.052	0.050	0.050	0.118	0.108	0.108	0.063	0.055	0.058	0.040	0.042	0.042	0.030	0.030	0.031	0.030	0.030	0.030
0:04:21	0.213	0.211	0.211	0.078	0.069	0.073	0.053	0.051	0.051	0.119	0.109	0.108	0.064	0.056	0.059	0.040	0.042	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:04:30	0.213	0.211	0.212	0.079	0.070	0.075	0.054	0.052	0.051	0.119	0.109	0.108	0.065	0.057	0.059	0.040	0.042	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:04:39	0.214	0.212	0.212	0.080	0.071	0.076	0.055	0.052	0.052	0.119	0.109	0.109	0.066	0.058	0.060	0.040	0.042	0.042	0.030	0.030	0.031	0.031	0.031	0.030
0:04:48	0.214	0.212	0.213	0.081	0.072	0.077	0.055	0.053	0.052	0.120	0.110	0.109	0.067	0.059	0.061	0.041	0.043	0.042	0.030	0.030	0.031	0.031	0.030	0.030
0:04:57	0.215	0.213	0.214	0.082	0.073	0.078	0.056	0.053	0.053	0.120	0.110	0.109	0.068	0.060	0.062	0.041	0.043	0.043	0.030	0.030	0.031	0.030	0.030	0.030
0:05:06	0.215	0.213	0.214	0.084	0.074	0.080	0.056	0.054	0.054	0.120	0.110	0.109	0.069	0.061	0.063	0.042	0.043	0.043	0.030	0.030	0.031	0.030	0.030	0.030
0:05:15	0.216	0.214	0.215	0.085	0.075	0.081	0.057	0.055	0.054	0.120	0.111	0.110	0.070	0.062	0.064	0.042	0.044	0.044	0.030	0.030	0.031	0.031	0.030	0.030
0:05:24	0.216	0.214	0.215	0.085	0.076	0.082	0.058	0.055	0.055	0.120	0.110	0.110	0.071	0.062	0.064	0.042	0.044	0.044	0.030	0.030	0.031	0.030	0.030	0.030
0:05:33	0.217	0.215	0.216	0.087	0.077	0.084	0.058	0.056	0.056	0.120	0.111	0.110	0.072	0.063	0.065	0.043	0.044	0.044	0.030	0.030	0.031	0.031	0.030	0.030
0:05:42	0.217	0.215	0.216	0.088	0.078	0.084	0.059	0.056	0.056	0.121	0.111	0.110	0.073	0.064	0.066	0.043	0.045	0.044	0.030	0.030	0.031	0.031	0.030	0.030
0:05:51	0.217	0.216	0.217	0.088	0.079	0.086	0.060	0.057	0.057	0.120	0.112	0.110	0.073	0.065	0.067	0.043	0.045	0.045	0.030	0.030	0.031	0.030	0.030	0.030
0:06:00	0.217	0.216	0.217	0.089	0.080	0.087	0.060	0.057	0.057	0.121	0.112	0.110	0.074	0.066	0.068	0.044	0.045	0.045	0.030	0.030	0.031	0.030	0.030	0.030
0:06:09	0.217	0.217	0.218	0.091	0.081	0.088	0.061	0.058	0.058	0.121	0.112	0.111	0.075	0.067	0.069	0.044	0.046	0.046	0.030	0.030	0.031	0.030	0.030	0.030
0:06:18	0.218	0.217	0.218	0.092	0.082	0.089	0.061	0.059	0.058	0.121	0.112	0.112	0.076	0.068	0.069	0.045	0.046	0.046	0.030	0.030	0.031	0.031	0.030	0.030
0:06:27	0.218	0.217	0.218	0.092	0.083	0.090	0.062	0.059	0.059	0.122	0.112	0.112	0.077	0.068	0.070	0.045	0.047	0.047	0.030	0.030	0.031	0.031	0.030	0.030
0:06:36	0.218	0.218	0.218	0.093	0.084	0.091	0.063	0.060	0.059	0.122	0.112	0.112	0.078	0.069	0.070	0.045	0.047	0.047	0.030	0.030	0.031	0.030	0.030	0.030
0:06:45	0.218	0.218	0.219	0.094	0.085	0.092	0.063	0.060	0.060	0.122	0.112	0.112	0.079	0.070	0.071	0.046	0.047	0.047	0.030	0.030	0.031	0.030	0.031	0.030
0:06:54	0.218	0.218	0.219	0.095	0.086	0.093	0.064	0.061	0.060	0.123	0.113	0.112	0.080	0.071	0.072	0.046	0.047	0.048	0.030	0.030	0.031	0.030	0.030	0.030
0:07:03	0.219	0.218	0.219	0.096	0.087	0.095	0.065	0.061	0.061	0.123	0.113	0.113	0.081	0.072	0.072	0.047	0.048	0.048	0.030	0.030	0.031	0.030	0.030	0.030
0:07:12	0.219	0.219	0.219	0.097	0.088	0.096	0.065	0.062	0.062	0.123	0.113	0.113	0.081	0.073	0.073	0.047	0.048	0.049	0.030	0.030	0.031	0.031	0.030	0.030
0:07:21	0.219	0.219	0.219	0.097	0.088	0.096	0.065	0.062	0.062	0.124	0.113	0.113	0.082	0.073	0.074	0.047	0.049	0.049	0.030	0.030	0.031	0.030	0.030	0.030
0:07:30	0.219	0.219	0.220	0.098	0.090	0.097	0.066	0.063	0.063	0.123	0.114	0.114	0.083	0.074	0.074	0.048	0.049	0.049	0.030	0.030	0.031	0.031	0.030	0.030
0:07:39	0.220	0.219	0.220	0.099	0.090	0.098	0.067	0.064	0.064	0.123	0.114	0.114	0.084	0.075	0.075	0.048	0.049	0.050	0.030	0.030	0.031	0.030	0.030	0.030
0:07:48	0.220	0.220	0.220	0.100	0.091	0.099	0.067	0.064	0.064	0.124	0.114	0.114	0.085	0.076	0.076	0.049	0.050	0.050	0.030	0.030	0.031	0.030	0.030	0.030
0:07:57	0.220	0.220	0.221	0.100	0.092	0.100	0.068	0.065	0.065	0.124	0.114	0.114	0.085	0.077	0.076	0.049	0.050	0.051	0.030	0.030	0.031	0.031	0.030	0.030
0:08:06	0.220	0.220	0.221	0.101	0.093	0.100	0.068	0.065	0.065	0.124	0.114	0.115	0.086	0.077	0.077	0.049	0.050	0.051	0.030	0.030	0.031	0.030	0.030	0.030
0:08:15	0.220	0.220	0.221	0.102	0.094	0.101	0.069	0.066	0.066	0.124	0.114	0.115	0.087	0.078	0.078	0.050	0.051	0.051	0.030	0.030	0.031	0.030	0.030	0.030
0:08:24	0.220	0.220	0.221	0.102	0.094	0.102	0.069	0.066	0.066	0.124	0.115	0.115	0.088	0.079	0.078	0.050	0.051	0.052	0.030	0.030	0.031	0.030	0.030	0.030
0:08:33	0.220	0.221	0.221	0.103	0.095	0.102	0.070	0.067	0.067	0.125	0.115	0.116	0.089	0.080	0.079	0.050	0.051	0.052	0.030	0.030	0.031	0.030	0.030	0.030
0:08:42	0.220	0.221	0.221	0.104	0.096	0.103	0.070	0.067	0.067	0.125	0.115	0.116	0.089	0.080	0.080	0.051	0.052	0.053	0.030	0.030	0.031	0.030	0.030	0.030
0:08:51	0.220	0.221	0.222	0.105	0.097	0.104	0.070	0.068	0.068	0.125	0.115	0.116	0.090	0.081	0.080	0.051	0.052	0.053	0.030	0.030	0.031	0.031	0.030	0.030
