Baseline:350
Kinetic read 1 (0:00.00)
	1	2	3
B	0.079	0.079	0.078	Baseline:350 Read#1

Baseline:350

Kinetic read	B1	B2	B3
0:00.00	0.079	0.079	0.078
0:00.62	0.079	0.079	0.078
0:01.24	0.079	0.079	0.078
0:01.86	0.079	0.079	0.078
0:02.48	0.079	0.079	0.078
0:03.10	0.079	0.079	0.078
0:03.72	0.079	0.079	0.078
0:04.34	0.079	0.079	0.078
0:04.96	0.079	0.079	0.078
0:05.58	0.079	0.079	0.078
0:06.20	0.079	0.079	0.078
0:06.82	0.079	0.079	0.078
0:07.44	0.079	0.079	0.078
0:08.06	0.079	0.079	0.078
0:08.68	0.079	0.079	0.078
0:09.30	0.079	0.079	0.078
0:09.92	0.079	0.079	0.078
0:10.54	0.079	0.079	0.078
0:11.16	0.079	0.079	0.078
0:11.78	0.079	0.079	0.078
0:12.40	0.079	0.079	0.078
0:13.02	0.079	0.079	0.078
0:13.64	0.079	0.079	0.078
0:14.26	0.079	0.079	0.078
0:14.88	0.079	0.079	0.078
0:15.50	0.079	0.079	0.078
0:16.12	0.079	0.079	0.078
0:16.74	0.079	0.079	0.078
0:17.36	0.079	0.079	0.078
0:17.98	0.079	0.079	0.078
0:18.60	0.079	0.079	0.078
0:19.22	0.079	0.079	0.078
0:19.84	0.079	0.079	0.078
0:20.98	Inject 1	Inject 1	Inject 1
0:21.63	0.077	0.079	0.077
0:22.25	0.077	0.079	0.077
0:22.87	0.077	0.078	0.077
0:23.49	0.077	0.078	0.077
0:24.11	0.077	0.078	0.077
0:24.73	0.077	0.078	0.077
0:25.35	0.077	0.078	0.077
0:25.97	0.077	0.078	0.077
0:26.59	0.077	0.078	0.077
0:27.21	0.077	0.078	0.077
0:27.83	0.077	0.078	0.077
0:28.45	0.077	0.078	0.077
0:29.07	0.077	0.078	0.077
0:29.69	0.077	0.078	0.077
0:30.31	0.077	0.078	0.077
0:30.93	0.077	0.078	0.077
0:31.55	0.077	0.079	0.077
0:32.17	0.077	0.078	0.077
0:32.79	0.077	0.078	0.077
